Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Sales
NCX06,17.6,Low Fat,0.0157114,Household,180.098,OUT049,1999,Medium,Tier 1,Supermarket Type1,3074.16
FDC37,,Low Fat,0.0327142,Baking Goods,108.194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2281.56
FDZ14,7.71,Regular,0.0477826,Dairy,122.376,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.35
DRG49,7.81,Low Fat,0.0675602,Soft Drinks,245.249,OUT049,1999,Medium,Tier 1,Supermarket Type1,4397.92
NCG06,16.35,Low Fat,0.0295051,Household,256.265,OUT045,2002,,Tier 2,Supermarket Type1,2529.29
DRC36,13,Regular,0.0450761,Soft Drinks,173.705,OUT045,2002,,Tier 2,Supermarket Type1,2330.4
FDV21,,Low Fat,0.299544,Snack Foods,124.87,OUT019,1985,Small,Tier 1,Grocery Store,1364.99
FDB53,13.35,Low Fat,0.139452,Frozen Foods,148.639,OUT046,1997,Small,Tier 1,Supermarket Type1,3055.51
DRP47,,Low Fat,0.246178,Hard Drinks,252.438,OUT019,1985,Small,Tier 1,Grocery Store,2154.11
FDA14,16.1,LF,0.065129,Dairy,145.176,OUT013,1987,High,Tier 3,Supermarket Type1,1695.71
DRC24,17.85,Low Fat,0.0248166,Soft Drinks,152.7,OUT035,2004,Small,Tier 2,Supermarket Type1,3394.01
FDW21,5.34,Regular,0.00598818,Snack Foods,100.636,OUT018,2009,Medium,Tier 3,Supermarket Type2,1279.49
NCH29,5.51,Low Fat,0.0344738,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,1827.73
FDU58,6.61,Regular,0.0289876,Snack Foods,188.69,OUT013,1987,High,Tier 3,Supermarket Type1,3208.76
FDY27,6.38,Low Fat,0.0320786,Dairy,177.634,OUT017,2007,,Tier 2,Supermarket Type1,2505.94
FDV56,16.1,Regular,0.0135932,Fruits and Vegetables,108.96,OUT035,2004,Small,Tier 2,Supermarket Type1,804.727
FDT59,13.65,LF,0.0159114,Breads,230.567,OUT046,1997,Small,Tier 1,Supermarket Type1,4013.52
FDB23,19.2,Regular,0.0055886,Starchy Foods,225.506,OUT046,1997,Small,Tier 1,Supermarket Type1,4292.56
FDR49,8.71,Low Fat,0.139511,Canned,46.2376,OUT045,2002,,Tier 2,Supermarket Type1,1123.54
FDB03,17.75,Regular,0.262504,Dairy,242.254,OUT010,1998,,Tier 3,Grocery Store,1788.45
FDN39,19.35,Regular,0,Meat,165.782,OUT045,2002,,Tier 2,Supermarket Type1,2293.14
FDX02,,Low Fat,0.0567838,Dairy,223.14,OUT027,1985,Medium,Tier 3,Supermarket Type3,3845.77
FDQ16,,Low Fat,0.0415363,Frozen Foods,107.791,OUT027,1985,Medium,Tier 3,Supermarket Type3,1823.5
FDU35,6.44,Low Fat,0.0795381,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1750.51
NCT29,12.6,Low Fat,0.0640574,Health and Hygiene,122.141,OUT013,1987,High,Tier 3,Supermarket Type1,242.977
FDZ27,7.935,Low Fat,0.0171563,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,542.636
FDN57,18.25,Low Fat,0.054541,Snack Foods,140.415,OUT017,2007,,Tier 2,Supermarket Type1,2740.18
FDA03,18.5,Regular,0.045649,Dairy,145.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,2165.17
FDZ36,6.035,Regular,0.0659172,Baking Goods,185.724,OUT045,2002,,Tier 2,Supermarket Type1,3576.54
NCU05,11.8,Low Fat,0.0586874,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,1633.08
FDT39,6.26,Regular,0.00990811,Meat,151.137,OUT018,2009,Medium,Tier 3,Supermarket Type2,2206.77
FDK60,16.5,Regular,0.0943952,Baking Goods,97.2068,OUT017,2007,,Tier 2,Supermarket Type1,1733.42
FDZ25,15.7,Regular,0.0277733,Canned,169.279,OUT017,2007,,Tier 2,Supermarket Type1,2894.71
FDG12,6.635,reg,0.00632611,Baking Goods,122.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2172.22
DRB01,,low fat,0.143991,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,586.33
NCC43,,Low Fat,0.0923336,Household,250.607,OUT027,1985,Medium,Tier 3,Supermarket Type3,2539.1
FDX13,,Low Fat,0.0836618,Canned,248.609,OUT019,1985,Small,Tier 1,Grocery Store,2365.12
FDM22,14,Regular,0.042023,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,1147.16
FDJ03,,Regular,0.0720443,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,944.833
FDU14,17.75,Low Fat,0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,2696.15
FDB33,17.75,Low Fat,0.0244042,Fruits and Vegetables,159.026,OUT010,1998,,Tier 3,Grocery Store,1459.13
FDP27,8.155,Low Fat,0.119451,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,3237.19
FDO38,17.25,Low Fat,0.121918,Canned,76.6986,OUT010,1998,,Tier 3,Grocery Store,-869.885
FDE28,,Regular,0.131905,Frozen Foods,232.067,OUT027,1985,Medium,Tier 3,Supermarket Type3,3838.78
FDO27,6.175,Regular,0.179044,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1416.24
DRL23,,Low Fat,0.0152302,Hard Drinks,107.094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1257.96
FDS28,8.18,Regular,0.0824016,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,456.161
FDX24,8.355,Low Fat,0.0139175,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,1527.01
FDZ02,6.905,Regular,0.0381402,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,1236.31
FDL46,20.35,Low Fat,0.0541666,Snack Foods,116.947,OUT045,2002,,Tier 2,Supermarket Type1,1588.36
FDS60,,Low Fat,0.0322914,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,1891.57
NCO06,19.25,Low Fat,0.108641,Household,33.0558,OUT017,2007,,Tier 2,Supermarket Type1,800.401
FDO16,5.48,Low Fat,0.0151053,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,2247.52
FDC60,5.425,Regular,0.11465,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,2107.51
FDA48,12.1,Low Fat,0.115342,Baking Goods,220.211,OUT018,2009,Medium,Tier 3,Supermarket Type2,3963.77
FDZ36,,Regular,0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,3345.25
FDK27,11,Low Fat,0.00896468,Meat,120.676,OUT045,2002,,Tier 2,Supermarket Type1,1859.05
FDW23,5.765,Low Fat,0.0823464,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,241.393
FDM14,13.8,Low Fat,0.013318,Canned,110.125,OUT018,2009,Medium,Tier 3,Supermarket Type2,1480
FDM14,13.8,Low Fat,0.0132529,Canned,108.225,OUT013,1987,High,Tier 3,Supermarket Type1,1813.28
FDW60,5.44,Regular,0.0171315,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,2809.52
FDE21,12.8,Low Fat,0.0229256,Fruits and Vegetables,116.449,OUT013,1987,High,Tier 3,Supermarket Type1,1491.69
NCM42,6.13,Low Fat,0.0283161,Household,109.391,OUT035,2004,Small,Tier 2,Supermarket Type1,1572.28
FDY59,8.195,Low Fat,0.0525629,Baking Goods,93.9462,OUT010,1998,,Tier 3,Grocery Store,-855.607
DRI49,14.15,Low Fat,0.183793,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1466.75
FDT28,,Low Fat,0.111296,Frozen Foods,151.271,OUT019,1985,Small,Tier 1,Grocery Store,1100.69
FDQ22,16.75,Low Fat,0.0298608,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,126.349
FDR60,14.3,LF,0.130618,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,738.984
FDC50,,LF,0.23899,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,346.42
FDV24,5.635,Low Fat,0.103186,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,2095.7
DRF48,5.73,Low Fat,0,Soft Drinks,188.39,OUT010,1998,,Tier 3,Grocery Store,-547.897
FDQ47,7.155,Regular,0.168186,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,1030.23
DRN36,15.2,low fat,0.0502559,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1435.38
NCY06,15.25,Low Fat,0.0611732,Household,128.597,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.77
FDE52,10.395,Regular,0.0298811,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,1637.24
NCB54,8.76,Low Fat,0.0501542,Health and Hygiene,126.934,OUT045,2002,,Tier 2,Supermarket Type1,2330.54
NCF31,9.13,Low Fat,0.0518376,Household,152.602,OUT035,2004,Small,Tier 2,Supermarket Type1,1878.69
FDJ08,,Low Fat,0.110136,Fruits and Vegetables,189.785,OUT027,1985,Medium,Tier 3,Supermarket Type3,3300.92
NCC07,19.6,Low Fat,0.0240866,Household,106.096,OUT017,2007,,Tier 2,Supermarket Type1,1194.12
NCD19,,Low Fat,0.0131156,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,806.137
FDL46,20.35,Low Fat,0,Snack Foods,118.947,OUT049,1999,Medium,Tier 1,Supermarket Type1,1519.75
FDM20,10,Low Fat,0.0387643,Fruits and Vegetables,246.214,OUT045,2002,,Tier 2,Supermarket Type1,5492.69
NCI06,11.3,Low Fat,0.0798696,Household,180.466,OUT010,1998,,Tier 3,Grocery Store,1873.86
DRM11,6.57,Low Fat,0.0660571,Hard Drinks,259.328,OUT035,2004,Small,Tier 2,Supermarket Type1,3895.86
NCH07,13.15,Low Fat,0.0930445,Household,158.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,2414.12
FDS23,4.635,Low Fat,0.140772,Breads,129.499,OUT013,1987,High,Tier 3,Supermarket Type1,2179.71
FDO49,10.6,Regular,0.0331868,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,436.588
FDS35,9.3,Low Fat,0.111393,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.2
DRK39,7.02,Low Fat,0.0499665,Dairy,82.525,OUT045,2002,,Tier 2,Supermarket Type1,1713.07
DRI39,13.8,Low Fat,0.097213,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,1401.59
FDV04,7.825,Regular,0.150864,Frozen Foods,158.029,OUT017,2007,,Tier 2,Supermarket Type1,1521.51
NCN14,19.1,Low Fat,0.0919004,Others,182.561,OUT035,2004,Small,Tier 2,Supermarket Type1,2776.07
FDH08,7.51,Low Fat,0.0174146,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,3298.14
FDS20,8.85,Low Fat,0.0538669,Fruits and Vegetables,183.029,OUT046,1997,Small,Tier 1,Supermarket Type1,2880.4
FDV40,17.35,Low Fat,0.0147146,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,791.667
FDZ48,17.75,Low Fat,0.127141,Baking Goods,110.554,OUT010,1998,,Tier 3,Grocery Store,-332.194
FDS24,,Regular,0.0619232,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,643.524
FDK44,16.6,Low Fat,0.122418,Fruits and Vegetables,174.374,OUT049,1999,Medium,Tier 1,Supermarket Type1,2055.35
FDS48,15.15,Low Fat,0,Baking Goods,150.471,OUT045,2002,,Tier 2,Supermarket Type1,2240.43
FDK26,5.46,Regular,0.0538584,Canned,186.924,OUT010,1998,,Tier 3,Grocery Store,1484.56
FDD23,9.5,Regular,0.0487843,Starchy Foods,188.59,OUT045,2002,,Tier 2,Supermarket Type1,3647.7
NCH54,13.5,LF,0.0730802,Household,161.492,OUT017,2007,,Tier 2,Supermarket Type1,2515.12
NCP14,8.275,Low Fat,0.184602,Household,106.531,OUT010,1998,,Tier 3,Grocery Store,603.994
FDM60,10.8,Regular,0.080582,Baking Goods,39.4138,OUT010,1998,,Tier 3,Grocery Store,-1225.34
FDV24,5.635,Low Fat,0.103856,Baking Goods,151.305,OUT017,2007,,Tier 2,Supermarket Type1,2128.49
FDH08,7.51,Low Fat,0.0175001,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,2947.97
FDS12,,Low Fat,0.173275,Baking Goods,127.636,OUT027,1985,Medium,Tier 3,Supermarket Type3,2319.2
FDR39,,Low Fat,0.0833935,Meat,180.629,OUT027,1985,Medium,Tier 3,Supermarket Type3,3216.67
FDP12,,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,199.515
DRF60,,Low Fat,0.0518166,Soft Drinks,236.456,OUT027,1985,Medium,Tier 3,Supermarket Type3,4470.84
FDC09,15.5,Regular,0.026297,Fruits and Vegetables,102.733,OUT035,2004,Small,Tier 2,Supermarket Type1,1377.42
FDF50,4.905,low fat,0.117808,Canned,198.577,OUT018,2009,Medium,Tier 3,Supermarket Type2,2631.68
FDG28,9.285,Regular,0.049271,Frozen Foods,243.914,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.53
NCE19,8.97,Low Fat,0.0935407,Household,55.4956,OUT017,2007,,Tier 2,Supermarket Type1,965.978
NCM53,18.75,Low Fat,0.0871058,Health and Hygiene,108.228,OUT010,1998,,Tier 3,Grocery Store,-334.395
NCN18,8.895,Low Fat,0,Household,110.954,OUT049,1999,Medium,Tier 1,Supermarket Type1,2529.07
FDF32,16.35,Low Fat,0.0680681,Fruits and Vegetables,199.143,OUT035,2004,Small,Tier 2,Supermarket Type1,2403.6
FDF11,10.195,Regular,0.0176166,Starchy Foods,239.454,OUT013,1987,High,Tier 3,Supermarket Type1,3276.5
DRI59,9.5,Low Fat,0.0408982,Hard Drinks,225.209,OUT049,1999,Medium,Tier 1,Supermarket Type1,4705.1
NCG54,12.1,Low Fat,0.0797912,Household,169.511,OUT035,2004,Small,Tier 2,Supermarket Type1,4127.48
FDM44,12.5,Low Fat,0.0310497,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,1509.74
FDT57,15.2,Low Fat,0.0191123,Snack Foods,236.225,OUT018,2009,Medium,Tier 3,Supermarket Type2,2801.29
FDV24,5.635,Low Fat,0.103272,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,2079.93
FDI50,,Regular,0.0540015,Canned,227.835,OUT019,1985,Small,Tier 1,Grocery Store,2718.66
FDS09,8.895,Regular,0.0810731,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,1007.47
NCC31,,Low Fat,0.0197742,Household,154.597,OUT027,1985,Medium,Tier 3,Supermarket Type3,2588.26
FDQ07,,Regular,0.153038,Fruits and Vegetables,219.046,OUT019,1985,Small,Tier 1,Grocery Store,2455.47
FDC22,6.89,Regular,0.1372,Snack Foods,191.882,OUT017,2007,,Tier 2,Supermarket Type1,2919.32
FDZ56,16.25,Low Fat,0.025737,Fruits and Vegetables,169.347,OUT046,1997,Small,Tier 1,Supermarket Type1,3101.79
FDZ40,,Low Fat,0.0703548,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,-641.762
FDS46,,Regular,0.0470285,Snack Foods,118.378,OUT027,1985,Medium,Tier 3,Supermarket Type3,1704.62
DRD24,13.85,Low Fat,0.0308575,Soft Drinks,140.615,OUT045,2002,,Tier 2,Supermarket Type1,2260.29
FDV45,16.75,Low Fat,0.0453022,Snack Foods,189.156,OUT017,2007,,Tier 2,Supermarket Type1,3345.08
FDL26,18,Low Fat,0.0733413,Canned,155.797,OUT045,2002,,Tier 2,Supermarket Type1,3088.96
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.041,OUT018,2009,Medium,Tier 3,Supermarket Type2,1298.86
FDN27,20.85,Low Fat,0.0395625,Meat,118.181,OUT046,1997,Small,Tier 1,Supermarket Type1,1160.83
FDM20,10,Low Fat,0.0387459,Fruits and Vegetables,245.014,OUT049,1999,Medium,Tier 1,Supermarket Type1,5464.4
FDO16,5.48,Low Fat,0.0151937,Frozen Foods,82.825,OUT017,2007,,Tier 2,Supermarket Type1,2177.63
FDL03,19.25,Regular,0.0270755,Meat,195.611,OUT035,2004,Small,Tier 2,Supermarket Type1,2366.57
FDE58,18.5,Low Fat,0.0520687,Snack Foods,117.012,OUT046,1997,Small,Tier 1,Supermarket Type1,2622.78
FDI02,,Regular,0.11401,Canned,112.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,1585.43
NCC55,,LF,0.111641,Household,38.8848,OUT019,1985,Small,Tier 1,Grocery Store,-842.047
FDR03,15.7,Regular,0.00877152,Meat,205.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,3799.7
FDB14,20.25,Regular,0.103305,Canned,92.612,OUT017,2007,,Tier 2,Supermarket Type1,1895.42
FDR45,10.8,LF,0.0289192,Snack Foods,240.922,OUT013,1987,High,Tier 3,Supermarket Type1,6640.56
NCN07,18.5,Low Fat,0.0341367,Others,130.028,OUT017,2007,,Tier 2,Supermarket Type1,1922.28
FDM51,,Regular,0.0453935,Meat,102.267,OUT019,1985,Small,Tier 1,Grocery Store,190.285
FDT52,,Regular,0.0471999,Frozen Foods,244.914,OUT027,1985,Medium,Tier 3,Supermarket Type3,3251.97
FDL26,18,Low Fat,0.0731928,Canned,154.297,OUT046,1997,Small,Tier 1,Supermarket Type1,3036.07
NCZ42,10.5,Low Fat,0.0112879,Household,238.925,OUT046,1997,Small,Tier 1,Supermarket Type1,4245.33
DRI47,,Low Fat,0.0366285,Hard Drinks,145.613,OUT019,1985,Small,Tier 1,Grocery Store,973.912
FDW40,14,Regular,0.105058,Frozen Foods,141.181,OUT013,1987,High,Tier 3,Supermarket Type1,2901.54
FDN34,15.6,Regular,0,Snack Foods,169.213,OUT046,1997,Small,Tier 1,Supermarket Type1,3506.24
FDS01,11.6,Low Fat,0.0177416,Canned,178.369,OUT035,2004,Small,Tier 2,Supermarket Type1,2585.59
NCG55,16.25,Low Fat,0.0392256,Household,116.218,OUT045,2002,,Tier 2,Supermarket Type1,2474.31
FDC11,20.5,Low Fat,0.141766,Starchy Foods,87.4172,OUT035,2004,Small,Tier 2,Supermarket Type1,1573.14
FDX35,5.035,Regular,0.0802361,Breads,226.404,OUT018,2009,Medium,Tier 3,Supermarket Type2,3590.54
NCB06,17.6,Low Fat,0.0823321,Health and Hygiene,160.392,OUT046,1997,Small,Tier 1,Supermarket Type1,2086.85
FDR09,,Low Fat,0.136086,Snack Foods,259.896,OUT019,1985,Small,Tier 1,Grocery Store,1177.24
FDC53,8.68,Low Fat,0.00888567,Frozen Foods,96.9384,OUT017,2007,,Tier 2,Supermarket Type1,1384.31
